username,sequence
00A6EPoJVTOJbyLDMEsSdB19GN3A/KbXKy4lokNwaJQ=,"['21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '22-TNW-TN', '36-EWI-HB', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '08-BK-City', '36-EWI-HB', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '20-Aula', '20-Aula', '23-CITG', '23-CITG', '36-EWI-HB', '21-BTUD', '21-BTUD', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '34-OCP-3ME', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '19-Studuitzendbureau', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '20-Aula', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '32-OCP-IO', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '22-TNW-TN', '22-TNW-TN', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '36-EWI-LB', '23-CITG', '31-TBM', '31-TBM', '31-TBM', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '22-TNW-TN', '134-3ME', '22-TNW-TN', '26-Bouwcampus', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '134-3ME', '08-BK-City', '36-EWI-HB', '36-EWI-HB', '36-EWI-LB', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '134-3ME', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '23-CITG', '23-CITG', '23-CITG', '31-TBM', '31-TBM', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '62-LR', '62-LR', '23-CITG', '62-LR', '23-CITG', '62-LR', '62-LR', '62-LR', '62-Simona', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '36-EWI-HB', '23-CITG', '23-CITG']"
00GXihrBU1QwJeaMntCyNYRMoQNcT2Y+MwONM7p1cHY=,"['23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG', '23-CITG']"
00iySfEoyYsqEEFMFGP1WA/mbfxyJ/9+nOWwtcCgO1o=,"['36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB']"
+00K9vxO7b0WrWEgAxbz20iYkxKNs3flm+pkWZkUWX8=,"['03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', 'oot Ar', 'oot Ar', 'oot Ar', 'oot Ar', 'oot Ar', 'oot Ar', '45-LSL', '03-Science Center', '03-Science Center', 'oot Ar', 'oot Ar', 'oot Ar', '08-BK-City', '03-Science Center', '03-Science Center', 'oot Ar', '34-OCP-3ME', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '08-BK-City', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '12-Kramerslab & Proeffabriek', '03-Science Center', '03-Science Center', '03-Science Center', '08-BK-City', '12-TNW-DCT', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '03-Science Center', '34-OCP-3ME', '34-OCP-3ME', 'oot Ar', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '03-Science Center', '03-Science Center', '08-BK-City', '12-TNW-DCT', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', 'oot Ar', 'oot Ar', '34-OCP-3ME', '34-OCP-3ME', '34-OCP-3ME', 'oot Ar', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '134-3ME', '32-OCP-IO']"
00pOlXMp90uToRWLEZeNQPML24/sqsD63Z4kdjDNNqM=,"['37-Sportcentrum', '37-Sportcentrum', '37-Sportcentrum', '37-Sportcentrum', '37-Sportcentrum', '37-Sportcentrum', '37-Sportcentrum', '38-Cultureel Centrum', '08-BK-City', '37-Sportcentrum', '08-BK-City', '08-BK-City', '37-Sportcentrum', '37-Sportcentrum', '37-Sportcentrum', '08-BK-City']"
00WznLF7WowzBMDdlxyaKxuSGPEhJno1HdBmq+y6IDk=,"['36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '22-TNW-TN', '22-TNW-TN', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '36-EWI-HB', '22-TNW-TN', '36-EWI-HB']"
00YDpaAzQ96YE4E0qGp37o7pwhUUGFgvxQcqLDGaFEM=,"['32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '21-BTUD', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '21-BTUD', '21-BTUD', '21-BTUD', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '37-Sportcentrum', '37-Sportcentrum', '37-Sportcentrum', '38-Cultureel Centrum', '37-Sportcentrum', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '38-Cultureel Centrum', '38-Cultureel Centrum', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '38-Cultureel Centrum', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '32-OCP-IO', '38-Cultureel Centrum', '38-Cultureel Centrum', '38-Cultureel Centrum']"
01BT8jYzOzxSia/g//vPzSl00HUFzYd7X27nc83z9xk=,"['21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '08-BK-City', '08-BK-City', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '62-LR', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '38-Cultureel Centrum', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '20-Aula', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '20-Aula', '20-Aula', '21-BTUD', '20-Aula', '20-Aula', '32-OCP-IO', '37-Sportcentrum', '38-Cultureel Centrum', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '35-Drebbelweg', '22-TNW-TN', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '62-LR', '62-LR', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '19-Studuitzendbureau', '37-Sportcentrum', '38-Cultureel Centrum', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '21-BTUD', '20-Aula', '62-LR', '62-LR', '62-LR', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '62-Simona', '62-LR', '62-LR', '62-LR', '66-OGZ', '66-OGZ', '62-LR', '62-LR', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '66-OGZ', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '20-Aula', '20-Aula', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '34-OCP-3ME', '34-OCP-3ME', '37-Sportcentrum', '22-TNW-TN', '22-TNW-TN', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '20-Aula', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '37-Sportcentrum', '37-Sportcentrum', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '22-TNW-TN', '36-EWI-LB', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '66-OGZ', '66-OGZ', '66-OGZ', '62-LR', '62-LR', '64-HSL', '62-LR', '62-LR', '62-LR', '23-CITG', '134-3ME', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '21-BTUD', '20-Aula', '66-OGZ', '66-OGZ', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '62-LR', '38-Cultureel Centrum', '38-Cultureel Centrum', '38-Cultureel Centrum']"
